ts_event,symbol,bar_period,open,high,low,close,volume
2024-12-03 12:20:00+00:00,MNQZ4,MINUTE,21197.0,21201.75,21196.0,21200.75,355
2024-12-03 12:21:00+00:00,MNQZ4,MINUTE,21201.5,21205.75,21201.0,21205.25,544
2024-12-03 12:22:00+00:00,MNQZ4,MINUTE,21205.0,21207.75,21204.5,21206.75,384
2024-12-03 12:23:00+00:00,MNQZ4,MINUTE,21206.5,21209.25,21206.5,21207.25,347
2024-12-03 12:24:00+00:00,MNQZ4,MINUTE,21207.0,21210.25,21207.0,21209.0,302
2024-12-03 12:25:00+00:00,MNQZ4,MINUTE,21208.25,21210.0,21207.25,21208.75,194
2024-12-03 12:26:00+00:00,MNQZ4,MINUTE,21208.75,21212.0,21208.75,21211.0,310
2024-12-03 12:27:00+00:00,MNQZ4,MINUTE,21211.0,21211.25,21205.25,21206.0,495
2024-12-03 12:28:00+00:00,MNQZ4,MINUTE,21206.75,21207.75,21204.0,21207.75,306
2024-12-03 12:29:00+00:00,MNQZ4,MINUTE,21207.5,21208.0,21205.75,21206.0,176
2024-12-03 12:30:00+00:00,MNQZ4,MINUTE,21205.75,21210.0,21203.25,21209.25,320
2024-12-03 12:31:00+00:00,MNQZ4,MINUTE,21209.5,21213.75,21208.0,21213.0,626
2024-12-03 12:32:00+00:00,MNQZ4,MINUTE,21212.5,21218.0,21212.5,21215.75,666
2024-12-03 12:33:00+00:00,MNQZ4,MINUTE,21216.25,21217.75,21214.25,21216.0,373
2024-12-03 12:34:00+00:00,MNQZ4,MINUTE,21215.5,21217.5,21215.0,21217.25,232
2024-12-03 12:35:00+00:00,MNQZ4,MINUTE,21217.25,21217.5,21209.5,21214.25,631
2024-12-03 12:36:00+00:00,MNQZ4,MINUTE,21214.0,21214.75,21211.25,21213.25,322
2024-12-03 12:37:00+00:00,MNQZ4,MINUTE,21212.75,21214.0,21209.75,21213.25,279
2024-12-03 12:38:00+00:00,MNQZ4,MINUTE,21214.0,21214.25,21211.75,21213.5,141
2024-12-03 12:39:00+00:00,MNQZ4,MINUTE,21214.0,21215.5,21212.5,21215.0,211
2024-12-03 12:40:00+00:00,MNQZ4,MINUTE,21215.0,21216.5,21214.0,21216.25,198
2024-12-03 12:41:00+00:00,MNQZ4,MINUTE,21216.0,21218.0,21214.75,21216.5,397
2024-12-03 12:42:00+00:00,MNQZ4,MINUTE,21217.0,21221.5,21216.25,21220.0,623
2024-12-03 12:43:00+00:00,MNQZ4,MINUTE,21219.75,21221.75,21219.25,21220.0,439
2024-12-03 12:44:00+00:00,MNQZ4,MINUTE,21220.0,21221.0,21218.5,21219.75,227
2024-12-03 12:45:00+00:00,MNQZ4,MINUTE,21219.5,21220.25,21210.0,21212.0,996
2024-12-03 12:46:00+00:00,MNQZ4,MINUTE,21211.75,21212.25,21208.5,21210.5,458
2024-12-03 12:47:00+00:00,MNQZ4,MINUTE,21210.75,21211.5,21205.75,21207.0,431
2024-12-03 12:48:00+00:00,MNQZ4,MINUTE,21206.75,21210.0,21206.5,21208.5,328
2024-12-03 12:49:00+00:00,MNQZ4,MINUTE,21209.0,21210.75,21206.0,21209.5,367
2024-12-03 12:50:00+00:00,MNQZ4,MINUTE,21209.75,21212.25,21209.25,21211.5,275
2024-12-03 12:51:00+00:00,MNQZ4,MINUTE,21212.0,21214.5,21211.25,21212.0,296
2024-12-03 12:52:00+00:00,MNQZ4,MINUTE,21212.25,21212.5,21210.5,21210.75,138
2024-12-03 12:53:00+00:00,MNQZ4,MINUTE,21210.75,21214.25,21210.25,21213.25,214
2024-12-03 12:54:00+00:00,MNQZ4,MINUTE,21212.75,21213.25,21209.0,21209.75,132
2024-12-03 12:55:00+00:00,MNQZ4,MINUTE,21210.0,21210.5,21207.0,21207.75,284
2024-12-03 12:56:00+00:00,MNQZ4,MINUTE,21208.0,21211.5,21206.75,21209.75,209
2024-12-03 12:57:00+00:00,MNQZ4,MINUTE,21209.75,21211.25,21204.0,21205.0,426
2024-12-03 12:58:00+00:00,MNQZ4,MINUTE,21205.5,21206.5,21201.75,21206.0,619
2024-12-03 12:59:00+00:00,MNQZ4,MINUTE,21205.5,21208.75,21203.25,21207.0,438
2024-12-03 13:00:00+00:00,MNQZ4,MINUTE,21207.25,21209.25,21205.75,21208.25,230
2024-12-03 13:01:00+00:00,MNQZ4,MINUTE,21208.25,21208.25,21204.75,21205.75,198
2024-12-03 13:02:00+00:00,MNQZ4,MINUTE,21205.5,21208.0,21203.5,21207.5,184
2024-12-03 13:03:00+00:00,MNQZ4,MINUTE,21207.5,21210.0,21206.5,21207.75,259
2024-12-03 13:04:00+00:00,MNQZ4,MINUTE,21207.0,21208.25,21204.0,21207.25,270
2024-12-03 13:05:00+00:00,MNQZ4,MINUTE,21206.75,21208.75,21205.0,21208.25,142
2024-12-03 13:06:00+00:00,MNQZ4,MINUTE,21208.5,21210.75,21206.75,21209.75,348
2024-12-03 13:07:00+00:00,MNQZ4,MINUTE,21209.25,21210.75,21207.75,21210.75,207
2024-12-03 13:08:00+00:00,MNQZ4,MINUTE,21210.5,21213.5,21209.5,21213.25,342
2024-12-03 13:09:00+00:00,MNQZ4,MINUTE,21212.75,21213.0,21207.75,21207.75,228
2024-12-03 13:10:00+00:00,MNQZ4,MINUTE,21208.0,21211.25,21208.0,21211.0,182
2024-12-03 13:11:00+00:00,MNQZ4,MINUTE,21211.25,21213.75,21210.0,21210.5,215
2024-12-03 13:12:00+00:00,MNQZ4,MINUTE,21210.0,21211.75,21209.5,21211.5,86
2024-12-03 13:13:00+00:00,MNQZ4,MINUTE,21211.5,21213.25,21211.5,21213.0,98
2024-12-03 13:14:00+00:00,MNQZ4,MINUTE,21213.0,21215.0,21212.0,21213.5,276
2024-12-03 13:15:00+00:00,MNQZ4,MINUTE,21213.25,21214.75,21212.25,21213.25,215
2024-12-03 13:16:00+00:00,MNQZ4,MINUTE,21213.25,21214.5,21212.0,21212.25,158
2024-12-03 13:17:00+00:00,MNQZ4,MINUTE,21212.5,21212.5,21205.75,21207.25,503
2024-12-03 13:18:00+00:00,MNQZ4,MINUTE,21207.75,21208.5,21204.75,21204.75,247
2024-12-03 13:19:00+00:00,MNQZ4,MINUTE,21205.0,21206.75,21203.75,21204.25,242
2024-12-03 13:20:00+00:00,MNQZ4,MINUTE,21204.0,21205.0,21198.25,21205.0,1110
